procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
25  0     20 1373744 366200 4658228    0    0     0   130 2760 3038 89 11  0  0  0
28  0     20 1269460 366208 4655536    0    0     0   136 4186 3082 89 11  0  0  0
24  0     20 1381564 366216 4655680    0    0     0   158 2743 3008 89 12  0  0  0
24  0     20 1312468 366224 4655980    0    0     0   219 3606 2817 89 11  0  0  0
27  0     20 1253228 366236 4659512    0    0     0   153 3508 2954 89 11  0  0  0
30  0     20 1311560 366244 4659132    0    0     0   178 2703 2992 89 11  0  0  0
19  0     20 1313016 366252 4661972    0    0     0   141 3547 2891 89 11  0  0  0
20  0     20 1324172 366260 4659420    0    0     0   142 3791 3027 88 12  0  0  0
19  0     20 1460748 366268 4656844    0    0     0   143 3918 2926 88 12  0  0  0
 0  0     20 1761016 366276 4645928    0    0     0   143 1763 1854 45  7 48  0  0
 0  0     20 1759260 366284 4645868    0    0     0   141  172  229  0  0 100  0  0
 1  0     20 1759008 366292 4645868    0    0     0    58  146  232  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0     20 1758504 366300 4645868    0    0     0    46  172  229  0  0 100  0  0
 0  0     20 1757748 366308 4645868    0    0     0    16  148  217  0  0 100  0  0
 0  0     20 1757496 366316 4645868    0    0     0    10  141  213  0  0 100  0  0
 0  0     20 1757496 366324 4645864    0    0     0    11  156  229  0  0 100  0  0
60  0    276 378792 357528 4395808    0    2   134    47 3524 2850 77  9 14  0  0
61  0    276 962784 357576 4399652    0    0    74   243 6105 3935 86 14  0  0  0
60  0    276 1138712 357584 4397576    0    0     0   219 4997 3608 89 11  0  0  0
54  0    276 806088 357592 4397188    0    0     0   262 4706 3821 89 11  0  0  0
60  0    276 1076980 357600 4397224    0    0     0   197 4674 3940 88 12  0  0  0
55  0    276 783984 357608 4397320    0    0     0   229 2883 3602 89 11  0  0  0
59  0    276 719100 357616 4397812    0    0     0   126 2645 3676 89 11  0  0  0
56  0    276 1047124 357624 4397456    0    0     0   238 2616 3624 89 11  0  0  0
57  0    276 845636 357640 4397752    0    0    26   174 2605 3597 89 11  0  0  0
54  0    276 957860 357648 4397888    0    0     0   283 2586 3627 88 12  0  0  0
57  0    276 777840 357656 4398200    0    0     0   166 2606 3600 89 11  0  0  0
57  0    276 989604 357664 4398348    0    0     0   204 2662 3899 88 12  0  0  0
58  0    276 952868 357672 4398632    0    0     0   135 2621 3572 89 11  0  0  0
57  0    276 622456 357680 4398480    0    0     0   182 2619 3630 89 11  0  0  0
58  0    276 935996 357688 4398952    0    0     0   189 2666 3691 88 12  0  0  0
59  0    276 805292 357700 4403296    0    0     0   161 2666 3703 89 11  0  0  0
60  0    276 844100 357708 4399308    0    0     0   248 2709 3713 89 12  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
57  0    276 926404 357720 4399448    0    0     1   190 2590 3660 89 11  0  0  0
60  0    276 795076 357728 4397952    0    0     0   166 2610 3660 89 11  0  0  0
57  0    276 833916 357736 4397848    0    0     0   170 2612 3705 89 12  0  0  0
57  0    276 965840 357760 4398104    0    0     0   264 2577 3595 89 11  0  0  0
60  0    276 740856 357768 4398556    0    0     0   158 2518 3582 89 11  0  0  0
59  0    276 1073788 357776 4398568    0    0     0   222 2577 3791 88 12  0  0  0
59  0    276 751216 357784 4398600    0    0     0   162 2537 3434 89 11  0  0  0
59  0    276 873320 357792 4399112    0    0     0   189 2631 3777 88 12  0  0  0
59  0    276 771436 357800 4399196    0    0     0   175 2599 3699 88 12  0  0  0
56  0    276 919556 357808 4399212    0    0     0   170 2572 3735 88 12  0  0  0
53  0    276 988348 357840 4399584    0    0     0   217 2512 3552 89 11  0  0  0
58  0    276 851704 357848 4399848    0    0     0   126 2577 3663 89 11  0  0  0
59  0    276 960152 357856 4399960    0    0     0   138 2608 3652 89 11  0  0  0
57  0    276 711196 357864 4400116    0    0     0   168 2630 3628 89 11  0  0  0
56  0    276 772332 357872 4400380    0    0     0   182 2632 3683 89 11  0  0  0
51  0    276 1019540 357880 4405448    0    0     0   181 2644 3727 89 11  0  0  0
60  0    276 838904 357888 4400836    0    0     0   226 2622 3651 89 11  0  0  0
57  0    276 907984 357896 4406072    0    0     0   196 2606 3716 89 11  0  0  0
58  0    276 733564 357904 4401244    0    0     0   128 2539 3618 89 11  0  0  0
56  0    276 932860 357912 4401280    0    0     0   136 2585 3685 89 11  0  0  0
58  0    276 899772 357920 4401556    0    0     0   197 2531 3576 89 11  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
60  0    276 762328 357928 4401724    0    0     0   161 2549 3590 89 11  0  0  0
57  0    276 888576 357932 4402076    0    0     0   175 2572 3716 89 11  0  0  0
60  0    276 786716 357936 4407676    0    0     0   222 2558 3509 89 11  0  0  0
56  0    276 779432 357944 4402344    0    0     0   165 2615 3770 89 11  0  0  0
49  0    276 1132728 357952 4402524    0    0     0   179 2619 3668 88 12  0  0  0
41  0    276 1223648 357960 4405352    0    0     0   162 2609 3222 89 11  0  0  0
20  0    276 1674820 357968 4402304    0    0     0   192 2666 2930 88 12  0  0  0
 0  0    276 1970428 357976 4408432    0    0     0    98 1708 1665 40  6 54  0  0
 0  0    276 1988592 357984 4392916    0    0     0    54  178  261  0  0 100  0  0
 0  0    276 1987080 357992 4392852    0    0     0    78  293  502  1  0 99  0  0
 0  0    276 1957580 358000 4405740    0    0    61    14  867 1800  3  1 96  0  0
 0  0    276 1969632 358008 4393128    0    0     0    10  200  294  0  0 99  0  0
 0  0    276 1969408 358016 4393128    0    0     0    13  162  248  0  0 100  0  0
 0  0    276 1969156 358024 4393064    0    0     0     8  164  233  0  0 100  0  0
94  0   4372 128704 344236 4101668    0  858   384   969 2479 2485 53  8 39  0  0
85  0   5396 1785572 340340 3518624    0  169  1443   528 5249 3336 88 12  0  0  0
91  0   5396 950436 340348 3519216    0    0    63   218 4723 4291 89 11  0  0  0
80  0   5396 1155152 340356 3518812    0    0     0   164 4088 3426 90 10  0  0  0
88  0   5396 1065688 340364 3517792    7    0     7   246 4251 4317 88 12  0  0  0
83  0   5396 1125984 340376 3518836    0    0     1   287 4048 3434 90 10  0  0  0
83  0   5396 1309824 340384 3518208    0    0     0   242 2713 4096 87 13  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
86  0   5396 967860 340392 3518524    0    0    24   254 2376 3301 90 10  0  0  0
85  0   5396 1438772 340400 3518684    1    0    20   263 2565 3926 88 12  0  0  0
88  0   5396 992504 340404 3518568    0    0     0   206 2525 3774 90 10  0  0  0
71  0   5396 1421104 340412 3518696    0    0     0   196 2461 3620 89 11  0  0  0
86  0   5396 975596 340420 3518976    0    0    46   178 2606 3910 88 12  0  0  0
87  0   5396 1377236 340428 3518956    0    0     0   242 2444 3536 89 11  0  0  0
82  0   5396 1231124 340436 3518988    0    0     0   200 2600 3830 88 12  0  0  0
84  0   5396 1059068 340444 3519404    0    0     0   239 2524 3610 90 10  0  0  0
83  0   5396 1240188 340452 3519460    0    0     0   274 2542 3762 88 12  0  0  0
86  0   5396 1113560 340468 3519088    0    0     0   215 2605 3679 89 11  0  0  0
84  0   5396 1332212 340476 3518892    0    0    45   234 2502 3642 89 11  0  0  0
87  0   5396 1106240 340484 3519428    0    0     0   166 2452 3710 89 11  0  0  0
89  0   5396 1087572 340492 3519116    0    0     0   181 2491 3575 89 11  0  0  0
84  0   5396 1179548 340500 3519028    0    0     0   216 2614 3820 88 12  0  0  0
87  0   5396 1038348 340508 3519468    0    0     0   248 2537 3655 89 11  0  0  0
82  0   5396 1206388 340520 3519168    0    0     1   261 3232 3752 88 12  0  0  0
